feature,importance
throttle_dp95,0.19557529771963564
throttle_mean,0.09559929450488196
speed_mean,0.0915314566630993
a_mean,0.08544698171161286
abs_a_mean,0.0840341759785514
speed_p95,0.05273829406408599
a_std,0.048888322070437105
throttle_p95,0.04548938853859726
rpm_std,0.04259923000268614
jerk_abs_mean,0.03962177123275503
a_p95,0.039555377536726694
speed_std,0.0394763426228995
throttle_std,0.03655161157466191
a_p05,0.03469055242631097
rpm_mean,0.023145029786121155
brake_mean,0.01565166894729309
rpm_p95,0.014486297782709502
brake_p95,0.006518426203846532
jerk_abs_p95,0.00563148262100851
brake_dp95,0.0027689980120795482
