feature,importance
a_p95,0.11717161547228874
throttle_p95,0.11424131319987273
throttle_mean,0.11388809673645665
a_std,0.07729442640077457
abs_a_mean,0.07166513649909306
jerk_abs_mean,0.06968412622519984
a_p05,0.05936912130849051
jerk_abs_p95,0.055187077437279505
speed_p95,0.051378440799111795
throttle_std,0.04881331389827624
speed_mean,0.046947157524727154
throttle_dp95,0.04642500273288822
a_mean,0.03399038385264774
rpm_p95,0.023344486367949682
rpm_mean,0.02044915707541732
rpm_std,0.015571303153540791
speed_std,0.014244111476322215
brake_p95,0.008876310683053739
brake_mean,0.0074321991956805425
brake_dp95,0.004027219960929004
